장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
0,0,00000000000,서문 공통,,,,,,,서문,"본 전결규정에 따른 권한의 위임은 CEO가 승인함"
0,1,00001000000,1. 목적,,,,,,,서문 1조,"본 전결규정은 최고 의사결정권자가 위임한 전결내용, 전결권자, 전결조건을 명시하여 권한과 책임을 명확히 함으로써, 업무효율성을 제고하고 책임경영을 도모함을 목적으로 함"
0,2,00002000000,2. 기본원칙,,,,,,,서문 2조,
0,2,00002010000,2.1 전결권한 행사,,,,,,,서문 2조 1항,"전결권한은 회사정책에 따라서 주어진 직책을 수행하는 데에만 행사하여야 함"
0,2,00002020000,2.2 중간결재 및 책임,,,,,,,서문 2조 2항,"본 전결규정은 최종 전결권자만을 규정하므로 모든 사항은 회사 조직기구에 따라 필요한 중간결재를 받아야 함. 결재 과정에 참여한 품의자/중간 결재자/최종 전결권자/합의권자는 권한행사에 따른 결과에 대하여 책임을 짐"
0,2,00002020100,2.2.1 결재경로 유형1,,,,,,,서문 2조 2항 1호,"품의자→유관담당 합(협)의/유관 팀장 합(협)의→전결권자"
0,2,00002020200,2.2.2 결재경로 유형2,,,,,,,서문 2조 2항 2호,"품의자→유관담당 합(협)의/유관 팀장 합(협)의/품의 팀장/유관 본부장 합(협)의→전결권자"
0,2,00002020300,2.2.3 결재경로 유형3,,,,,,,서문 2조 2항 3호,"품의자→유관담당 합(협)의/유관 팀장 합(협)의/품의 팀장/유관 본부장 합(협)의/품의 본부장→전결권자"
0,2,00002030000,2.3 합(협)의 처리기한,,,,,,,서문 2조 3항,"신속한 의사결정 지원을 위해 특별한 사유가 없는 한 합(협)의권자는 송부된 건을 요청기한 내에 처리하고, 기한이 없는 경우에는 익일 이내에 처리하는 것을 원칙으로 함"
0,2,00002040000,2.4 규정 중복/상충 시,,,,,,,서문 2조 4항,"전결규정이 중복되는 경우 상위 전결권자로부터 결재를 받아야 하며, 전결규정과 타 규정이 상충될 경우 전결규정이 우선함"
0,3,00003000000,3. 운영,,,,,,,서문 3조,
0,3,00003010000,3.1 전결권자 서열,,,,,,,서문 3조 1항,"이사회 – CEO / CSO - 본부장 - 팀장 - 담당"
0,3,00003020000,3.2 결재사항 분할 금지,,,,,,,서문 3조 2항,"결재는 업무사항별로 받아야 하며 전결권 하향을 목적으로 결재사항을 분할하지 못함. 또한, 하나의 품의에 다수 사항이 적용될 경우, 각 사항마다 해당 전결권자의 결재를 받아야 함"
0,3,00003030000,3.3 권한대행,,,,,,,서문 3조 3항,"최종 전결권자는 출장/교육/휴가 등으로 인한 부재 시 등 기간 중 권한대행자를 지정할 수 있음. 다만, 권한 위임 또는 권한대행자 지정 없이 부재 중일 경우 차상위자가 전결권자가 됨"
0,3,00003040000,3.4 전결권자 부재 시,,,,,,,서문 3조 4항,"최종 전결권자가 조직편제상 없는 경우, 차상위자가 전결권자가 됨"
0,3,00003050000,3.5 결재 효력 상실,,,,,,,서문 3조 5항,"최종 전결권자 결재 후 실행에 착수하지 아니한 채 3개월이 경과하는 경우, 결재 효력이 상실된 것으로 봄"
0,3,00003060000,3.6 이해관계 있는 사항,,,,,,,서문 3조 6항,"전결권자는 개인적 이해관계가 있는 사항에 대한 전결권한을 행사할 수 없고, 차상위 전결권자의 결재를 받아야 함"
0,3,00003070000,3.7 금액 기준,,,,,,,서문 3조 7항,"본 전결규정에서 금액을 표시하는 모든 항목은 공제대상 부가가치세를 제외한 금액을 기준으로 함"
0,3,00003080000,3.8 ER 작성,,,,,,,서문 3조 8항,"ER은 시설투자, 지분투자, 자/투자회사에 대한 자금대여 및 투자목적의 자금대여시 작성하며, 경영기획본부장의 합의를 요함. 또한, ER과 지출내용이 동일한 승인품의를 득한 경우, ER은 차 하위자 결재 가능"
0,3,00003090000,3.9 규정 제/개정,,,,,,,서문 3조 9항,"편제별 관리자는 경영기획팀과 협의하여 제/개정(안)을 수립하고 CEO 승인을 받은 후 규정에 반영하여야 함"
0,3,00003100000,3.10 연간구매 금액 기준,,,,,,,서문 3조 10항,"일회성 계약이 아닌 경우 연간구매 금액을 기준으로 함"
0,3,00003110000,3.11 외화거래 환산,,,,,,,서문 3조 11항,"원화금액을 확정할 수 없는 외화거래는 문서 작성일의 한국은행 최초고시 기준환율을 적용하여 환산한 원화금액을 기준으로 전결권을 적용함"
0,3,00003120000,3.12 규정되지 않은 사항,,,,,,,서문 3조 12항,"규정되어 있지 아니한 사항에 대하여는 유사직무가 있는 경우에는 유사직무에 준하여 결정을 하고, 유사직무가 없는 경우에는 사규담당부서장과 협의하여 전결권자를 정함"
0,3,00003130000,3.13 중요 사항 보고,,,,,,,서문 3조 13항,"각 전결권자는 권한사항일지라도 전례가 없는 사항이거나 특별히 인정되는 중요한 사항에 대하여는 상위 전결권자 또는 CEO에게 사전 보고하거나 결정을 받아야 함"
0,3,00003140000,3.14 실장 권한,,,,,,,서문 3조 14항,"실장의 권한은 팀장에 해당하며, 예외적으로 기술운영실장은 본부장에 준하는 것으로 한다"
0,4,00004000000,4. 용어 정의,,,,,,,서문 4조,"본 전결규정에 표기된 의사결정 유형별 기호 및 정의"
0,4,00004010000,4.1 결재(◎),,,,,,,서문 4조 1항,"업무에 관한 판단 및 의사결정"
0,4,00004020000,4.2 보고(□),,,,,,,서문 4조 2항,"권한 위임된 특정 사안의 실행결과를 관련 상위 전결권자에게 지정된 주기(별도 정함이 없는 경우 1개월)에 따라 사후에 보고하는 절차"
0,4,00004030000,4.3 합의(○),,,,,,,서문 4조 3항,"품의자가 결재를 받는 과정에서 유관부서의 동의를 구하는 절차"
0,4,00004040000,4.4 참조(★),,,,,,,서문 4조 4항,"특정 사안 품의과정에서 유관부서가 사안 검토 후 의견을 제시하는 절차"
0,4,00004050000,4.5 접수(→),,,,,,,서문 4조 5항,"후속 업무 수행을 위하여 관련 부서 또는 담당자가 공식적으로 수령하고 확인하는 절차"
0,5,00005000000,5. 시행일,,,,,,,서문 5조,"본 전결규정은 2025년 10월 01일부터 효력을 발생함"
0,6,00006000000,6. 제/개정이력,,,,,,,서문 6조,"2011.08.26 제정 / 2018.12.01 개정 / 2022.11.04 개정 / 2023.06.01 개정 / 2025.09.01 전면 개정"
