장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
1,0,10001000000,경영정책 및 운영,,,,,,,제1장 경영관리 1조,
1,0,10001010000,경영방침,CEO,,,,,,제1장 경영관리 1조 1항,
1,0,10001020000,전사 중장기 경영전략,CEO,,,,,,제1장 경영관리 1조 2항,
1,0,10001030000,사업단위 중장기 경영전략,CEO,,,,,,제1장 경영관리 1조 3항,
1,0,10001040000,회사 경영전략 연계 의사결정,CEO,,,,,,제1장 경영관리 1조 4항,"신사업 진출, 타법인출자, 사업제휴 등"
1,0,10001050000,장기 경제성 검토 주요 기준,,,,,,,제1장 경영관리 1조 5항,
1,0,10002000000,사업계획 및 성과평가,,,,,,,제1장 경영관리 2조,
1,0,10002010000,사업계획서(Business Plan),이사회,,,,,,제1장 경영관리 2조 1항,이사회 승인건은 전자결재를 득하는 것이 아니라 이사회 안건 부의 후 이사회에서 가결하는 것으로 승인을 득함. 회의록으로 증빙서류를 별도 보관해야 합니다. 이사회 관리부서는 경영기획팀입니다. 이사회 안건을 올리고 싶으면 경영기획팀에 문의하세요
1,0,10002020000,사업단위 연간 경영목표 및 실행전략,CEO,,,,,,제1장 경영관리 2조 2항,
1,0,10002030000,사업단위 성과평가 기준,CEO,,,,,,제1장 경영관리 2조 3항,
1,0,10002040000,연간 사업계획 추진실적 관리,본부장,,,,,,제1장 경영관리 2조 4항,
1,0,10003000000,자회사/투자회사 경영관리,,,,,,,제1장 경영관리 3조,
1,0,10003010000,주주총회 의결권 지시,CEO,,,,,,제1장 경영관리 3조 1항,"총자산 5백억원 초과인 자회사의 상법상 주주총회 특별 결의사항의 경우 이사회 승인 필요 (단, 계약 등에 의해 실질적인 의사결정이 아닌 경우는 제외)"
1,0,10003020000,이사회 의안에 대한 회사지명 이사에게 의결권 권고,,,,,,,제1장 경영관리 3조 2항,
1,0,10003020100,경영상 주요 사항,이사회,,,,,,제1장 경영관리 3조 2항 1호,3조 2항 1호 하위 목에 해당하는 항목 외의 주요사항 여부 판단은 경영기획본부장이 합니다.
1,0,10003020101,연간 사업계획 승인,이사회,,,,,,제1장 경영관리 3조 2항 1호 1목,
1,0,10003020102,정관변경,주주총회,,,,,,제1장 경영관리 3조 2항 1호 2목,
1,0,10003020103,임원보수 한도 승인,주주총회,,,,,,제1장 경영관리 3조 2항 1호 3목,
1,0,10003020104,신주발행,이사회,,,,,,제1장 경영관리 3조 2항 1호 4목,
1,0,10003020105,재무제표 승인,이사회,,,,,,제1장 경영관리 3조 2항 1호 5목,
1,0,10003020106,임원(미등기임원 포함) 지명 및 변경,주주총회,,,,,,제1장 경영관리 3조 2항 1호 6목,
1,0,10003020200,경영상 주요 사항 이외의 기타 사항,본부장,,,CEO,,,제1장 경영관리 3조 2항 2호,3조 2항 1호 하위 목에 해당하는 항목 외의 주요사항 여부는 경영기획본부장이 판단
1,0,10004000000,위원회 설치,,,,,,,제1장 경영관리 4조,
1,0,10004010000,이사회 내 위원회,이사회,,,,,,제1장 경영관리 4조 1항,
1,0,10004020000,기타 위원회,CEO,,,,,,제1장 경영관리 4조 2항,
1,0,10005000000,기업공시 및 Investor Relation,,,,,,,제1장 경영관리 5조,
1,0,10005010000,사업보고서(분/반기보고서) 및 주요공시,CEO,,,,,,제1장 경영관리 5조 1항,"주요공시란 회사의 전략적 의사결정과 관련된 공시 의미, 애매한 경우 경영기획본부장이 판단"
1,0,10005020000,이사회 또는 CEO 기승인사항에 대한 공시 및 기타공시,본부장,,,,,,제1장 경영관리 5조 2항,"대규모내부거래 공시, 비상장회사 주요공시, 기업집단현황공시, 하도금대금결재조건공시 등 모두 포함
애매한 경우 경영기획본부장이 판단"
1,0,10005030000,Investor Relation,,,,,,,제1장 경영관리 5조 3항,
1,0,10005030100,회사 주요 전략 및 정책 관련 사항,CEO,,,,,,제1장 경영관리 5조 3항 1호,
1,0,10005030200,주기적이고 일반적인 사항,본부장,,,CEO,,,제1장 경영관리 5조 3항 2호,
1,0,10005030300,신용평가 및 회사채 관련 사항,본부장,,,CEO,,,제1장 경영관리 5조 3항 3호,
1,0,10006000000,사회공헌활동,,,,,,,제1장 경영관리 6조,
1,0,10006010000,연간계획 수립 및 기부처 선정,CEO,,,,,,제1장 경영관리 6조 1항,
1,0,10006020000,세부계획 수립 및 운영,본부장,,,,,,제1장 경영관리 6조 2항,
1,0,10006030000,승인된 기부처 집행,팀장,,,,,,제1장 경영관리 6조 3항,"연간계획 또는 세부계획이 수립되어 있지 않고, 집행하고자 하는 경우는 대표이사 결재로 진행하시기 바랍니다."
1,0,10007000000,Corporate Compliance Program,,,,,,,제1장 경영관리 7조,
1,0,10007010000,윤리규범 및 실천규정 제/개정,CEO,,,,,,제1장 경영관리 7조 1항,
1,0,10007020000,자율준수 운영 현황 관리,본부장,,,CEO,,,제1장 경영관리 7조 2항,
1,0,10008000000,감사,,,,,,,제1장 경영관리 8조,
1,0,10008010000,연간 감사 계획,CEO,,,,,,제1장 경영관리 8조 1항,
1,0,10008020000,감사 계획에 포함되지 않은 감사 지시,CEO,,,,,,제1장 경영관리 8조 2항,제보에 따른 감사는 감사 후 CEO 보고
1,0,10008030000,감사질의서,본부장,,,,,,제1장 경영관리 8조 3항,
1,0,10008040000,감사보고서,본부장,,,CEO,,,제1장 경영관리 8조 4항,
1,0,10009000000,통합업무시스템,,,,,,,제1장 경영관리 9조,
1,0,10009010000,통합업무시스템 제/개정 및 폐지,,,,,,,제1장 경영관리 9조 1항,
1,0,10009010100,전결규정(Delegation of Authority),CEO,,,,,,제1장 경영관리 9조 1항 1호,
1,0,10009010200,규정(Standard) 및 절차서(Procedure),CEO,,,,,,제1장 경영관리 9조 1항 2호,단순 문구수정은 본부장전결
1,0,10009010300,지침서(Work Instruction),본부장,,,,,,제1장 경영관리 9조 1항 3호,
1,0,10009020000,유권해석,,,,,,,제1장 경영관리 9조 2항,
1,0,10009020100,전결규정,팀장,,,,,,제1장 경영관리 9조 2항 1호,
1,0,10009020200,규정/절차서/지침서,팀장,,,,,,제1장 경영관리 9조 2항 2호,
1,0,10009030000,규정/절차서 관련 업무 배정 및 조정,본부장,,,,,,제1장 경영관리 9조 3항,
1,0,10010000000,IT 업무 관리,,,,,,,제1장 경영관리 10조,
1,0,10010010000,IT 3개년 계획,CEO,,,,,,제1장 경영관리 10조 1항,매년 승인
1,0,10010020000,IT 시스템 구축을 위한 구매,,,,,,,제1장 경영관리 10조 2항,"IT 시스템 구매도 일반 구매와 동일한 전결 기준 적용, 3장 구매 규정 참고"
