장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
3,1,30101000000,물품 구매 계약,,,,,,,제3장 구매 1절 1조,이사회 승인의 세부계약은 대표 전결
3,1,30101010000,구매요청(수요부서 품의),,,,,,,제3장 구매 1절 1조 1항,구매요청 금액은 추정가격 기준
3,1,30101010100,구매요청(투자예산),,,,,,1천만원 이하 계약은 제3장 구매 1절 1.2.2 수요부서 자체계약 참조,제3장 구매 1절 1조 1항 1호,1천만원 이하 계약은 수요부서 자체계약 시행
3,1,30101010101,1억원 초과,CEO,,,,담당,,제3장 구매 1절 1조 1항 1호 1목,접수경로는 경영기획팀 계약담당자
3,1,30101010102,1억원 이하,본부장,,,,담당,1천만원 이하 계약은 수요부서 자체계약 시행,제3장 구매 1절 1조 1항 1호 2목,접수경로는 경영기획팀 계약담당자
3,1,30101010200,구매요청(비용예산),,,,,,1천만원 이하 계약은 제3장 구매 1절 1.2.2 수요부서 자체계약 참조,제3장 구매 1절 1조 1항 2호,1천만원 이하 계약은 수요부서 자체계약 시행
3,1,30101010201,1억원 초과,CEO,,,,담당,,제3장 구매 1절 1조 1항 2호 1목,접수경로는 경영기획팀 계약담당자
3,1,30101010202,1억원 이하,본부장,,,,담당,1천만원 이하 계약은 수요부서 자체계약 시행,제3장 구매 1절 1조 1항 2호 2목,접수경로는 경영기획팀 계약담당자
3,1,30101010300,"ER이 없거나 구매내용이 일치하지 않는 구매 (투자예산, 비용예산)",,,,,,1천만원 이하 계약은 제3장 구매 1절 1.2.2 수요부서 자체계약 참조,제3장 구매 1절 1조 1항 3호,1천만원 이하 계약은 수요부서 자체계약 시행
3,1,30101010301,3천만원 초과,CEO,,,,담당,,제3장 구매 1절 1조 1항 3호 1목,접수경로는 경영기획팀 계약담당자
3,1,30101010302,3천만원 이하,본부장,,,,담당,1천만원 이하 계약은 수요부서 자체계약 시행,제3장 구매 1절 1조 1항 3호 2목,접수경로는 경영기획팀 계약담당자
3,1,30101020000,구매계약 승인,,,,,,,제3장 구매 1절 1조 2항,
3,1,30101020100,계약부서 계약체결,본부장,,,,,,제3장 구매 1절 1조 2항 1호,"1천만원 이상 계약에 해당되며, 수요부서 품의가 접수된 후로 진행"
3,1,30101020200,"수요부서 자체계약(투자예산, 비용예산)",본부장,,,,,,제3장 구매 1절 1조 2항 2호,1천만원 이하 구매계약
3,1,30101030000,계약변경,,,,,,,제3장 구매 1절 1조 3항,
3,1,30101030100,수요부서 변경계약(품의),,,,,,,제3장 구매 1절 1조 3항 1호,1천만원 이하 계약은 1조3항3호 수요부서 자체계약 시행
3,1,30101030101,1억원 초과,CEO,,,,담당,1천만원 이하 계약은 1조3항3호 수요부서 자체계약 시행,제3장 구매 1절 1조 3항 1호 1목,"단, 계약변경시 계약금액 변동 없이 계약기간(납기) 변경 시 본부장 승인 가능
접수경로는 경영기획팀 계약담당자"
3,1,30101030102,1억원 이하,본부장,,,,담당,1천만원 이하 계약은 1조3항3호 수요부서 자체계약 시행,제3장 구매 1절 1조 3항 1호 2목,접수경로는 경영기획팀 계약담당자
3,1,30101030200,계약부서 변경계약(승인),본부장,,,,,,제3장 구매 1절 1조 3항 2호,
3,1,30101030300,수요부서 자체계약 변경계약(승인),본부장,,,,,,제3장 구매 1절 1조 3항 3호,1천만원 이하 구매계약
3,1,30101030400,"계약의 해제, 해지",,,,,,,제3장 구매 1절 1조 3항 4호,
3,1,30101030401,1억원 초과,CEO,,,,담당,,제3장 구매 1절 1조 3항 4호 1목,접수경로는 경영기획팀 계약담당자
3,1,30101030402,1천만원 초과 ~ 1억원 이하,본부장,,,,담당,,제3장 구매 1절 1조 3항 4호 2목,접수경로는 경영기획팀 계약담당자
3,1,30101030403,1천만원 이하,본부장,,,,,,제3장 구매 1절 1조 3항 4호 3목,"수요부서 자체 계약 해제, 해지"
3,1,30101040000,검사보고 승인,,,,,,,제3장 구매 1절 1조 4항,
3,1,30101040100,1억원 초과,CEO,,,,담당,,제3장 구매 1절 1조 4항 1호,접수경로는 경영기획팀 계약담당자
3,1,30101040200,1천만원 초과 ~ 1억원 이하,본부장,,,,담당,,제3장 구매 1절 1조 4항 2호,접수경로는 경영기획팀 계약담당자
3,1,30101040300,1천만원 이하,본부장,,,,,,제3장 구매 1절 1조 4항 3호,"수요부서 자체 계약 해제, 해지"
