장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
4,1,40100000000,4장1절 재무-자금 공통,,,,,,,제4장 재무 1절,"‘지급’이란 기안지/지출결의서 등을 근거로 자금을 실제로 집행하는 행위, ‘지출’이란 지급을 요청하는 부서에서 자금의 지급을 요청하기 위한 의사결정을 의미함"
4,1,40101000000,재무정책,,,,,,,제4장 재무 1절 1조,배당/부채에 관한 기본정책 : 이사회
4,1,40102000000,금융업무,,,,,,,제4장 재무 1절 2조,
4,1,40102010000,금융계좌,,,,,,,제4장 재무 1절 2조 1항,
4,1,40102010100,계좌 개설,본부장,,,,,,제4장 재무 1절 2조 1항 1호,현업 별도계좌 개설은 요청 본부장 결재/경영기획본부장 합의
4,1,40102010200,계좌 폐쇄,팀장,,,,,,제4장 재무 1절 2조 1항 2호,현업 별도계좌 폐쇄는 요청 팀장 결재/경영기획팀장 합의
4,1,40102020000,인터넷뱅킹 ID 및 OTP 관리,,,,,,,제4장 재무 1절 2조 2항,
4,1,40102020100,신규발급/재발급,본부장,,,,,,제4장 재무 1절 2조 2항 1호,
4,1,40102020200,갱신/폐기,팀장,,,,,,제4장 재무 1절 2조 2항 2호,
4,1,40102020300,인터넷뱅킹 공동인증서별 권한 부여,본부장,,,,,,제4장 재무 1절 2조 2항 3호,"공동인증서/ OTP 실물은 경영기획본부장, 경영기획팀장, 자금담당자가 관리하며, ID별 관리자 및 권한은 다음과 같이 부여함.
1. 실물 공동인증서 및 OTP : 경영기획본부장 관리(금고 내), 필요 시 사용자 불출, 사용후 반납
2. 2차 승인자 공동인증서 및 OTP : 경영기획팀장 관리, 조회/이체 승인 권한만 부여
3. 담당자 공동인증서 및 OTP : 조회/이체 등록 권한만 부여"
4,1,40102030000,대내외 지급 및 입금 반영,,,,,,,제4장 재무 1절 2조 3항,
4,1,40102030100,자금 실행,팀장,,,,,,제4장 재무 1절 2조 3항 1호,
4,1,40102030200,입금 반영,팀장,,,,,,제4장 재무 1절 2조 3항 2호,
4,1,40102030300,수표 및 어음 발행/교부,본부장,,,,,,제4장 재무 1절 2조 3항 3호,
4,1,40102040000,회사 계좌간 자금 이체,,,,,,,제4장 재무 1절 2조 4항,
4,1,40102040100,계좌간 이체,담당,,,,,,제4장 재무 1절 2조 4항 1호,
4,1,40102040200,예금 인출,팀장,,,,,,제4장 재무 1절 2조 4항 2호,
4,1,40102050000,자금운용,,,,,,,제4장 재무 1절 2조 5항,그룹방침 준수
4,1,40102050100,자금운용방침,CEO,,,,,,제4장 재무 1절 2조 5항 1호,"그룹방침 준수, 별도 방침 필요 시 대표이사 승인 필요"
4,1,40102050200,자금운용(일반),,,,,,,제4장 재무 1절 2조 5항 2호,
4,1,40102050201,신종 금융상품 가입,CEO,,,,,,제4장 재무 1절 2조 5항 2호 1목,
4,1,40102050202,금융상품 가입,본부장,,,CEO,,,제4장 재무 1절 2조 5항 2호 2목,
4,1,40102050203,해지/매각 - 만기전,CEO,,,,,,제4장 재무 1절 2조 5항 2호 3목,
4,1,40102050204,해지/매각 - 만기,팀장,,,,,,제4장 재무 1절 2조 5항 2호 4목,
4,1,40102050300,자금 운용(특별),,,,,,,제4장 재무 1절 2조 5항 3호,
4,1,40102050301,운용수익 목적 외 예금,CEO,,,,,,제4장 재무 1절 2조 5항 3호 1목,
4,1,40102050302,무보증 기업어음/주식형 금융상품/투자유가증권,CEO,,,,,,제4장 재무 1절 2조 5항 3호 2목,
4,1,40102050303,기타 특별 금융상품,CEO,,,,,,제4장 재무 1절 2조 5항 3호 3목,
4,1,40102050304,해지/매각 - 만기전,CEO,,,,,,제4장 재무 1절 2조 5항 3호 4목,
4,1,40102050305,해지/매각 - 만기,팀장,,,,,,제4장 재무 1절 2조 5항 3호 5목,
4,1,40102050400,퇴직연금 운용,,,,,,,제4장 재무 1절 2조 5항 4호,
4,1,40102050401,퇴직연금 불입,CEO,,,,,,제4장 재무 1절 2조 5항 4호 1목,
4,1,40102050402,적립금 반환,CEO,,,,,,제4장 재무 1절 2조 5항 4호 2목,
4,1,40102050403,적립금 운용,본부장,,,CEO,,,제4장 재무 1절 2조 5항 4호 3목,
4,1,40102060000,자금 조달,,,,,,,제4장 재무 1절 2조 6항,
4,1,40102060100,단기(기간연장 포함 1년 이내) 차입,,,,,,,제4장 재무 1절 2조 6항 1호,
