장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
5,0,50000000000,제5장 자산관리 공통,,,,,,,제5장 자산관리,"계열회사의 설립, 자본구조의 변경, 매입, 매각 또는 기타 처분의 승인은 금액과 무관하게 이사회승인사항임 (단, 비계열회사의 경우 50억원 초과시) 
모든 항목 중, 본부장 승인 항목은 경영기획본부장 합의, 팀장 승인 항목은 경영기획팀장 합의 필요
본 장에서 자산의 매각의 경우, 기준이 되는 가액은 장부가액과 매각가액(처분가액) 중 더 큰 금액을 기준으로 함. 부동산의 경우 장부가액과 처분가액, 공시지가 중 가장 큰 금액을 기준으로 함"
5,0,50001000000,자산 매입/취득,본부장,,,,,제3장 구매 참조,제5장 자산관리 1조,3장 구매 참조
5,0,50002000000,자산의 매각,,,,,,,제5장 자산관리 2조,
5,0,50002010000,자산의 매각 - 1억원 초과,CEO,,,,,,제5장 자산관리 2조 1항,매각가액 기준 1백억원을 초과하거나 장부가액 기준 50억원을 초과하는 자산의 처분은 이사회 승인 필요
5,0,50002020000,자산의 매각 - 1억원 이하,본부장,,,,,,제5장 자산관리 2조 2항,매각가액 기준 1백억원을 초과하거나 장부가액 기준 50억원을 초과하는 자산의 처분은 이사회 승인 필요
5,0,50003000000,"자산의 임대차, 위탁",,,,,,,제5장 자산관리 3조,
5,0,50003010000,임대,CEO,,,,,,제5장 자산관리 3조 1항,
5,0,50003020000,임차,,,,,,,제5장 자산관리 3조 2항,
5,0,50003020100,토지/건물/주택 및 시설/장비,CEO,,,,,,제5장 자산관리 3조 2항 1호,"도로점용료 제외, 도로점용료 집행 기안은 1억원 초과 대표이사, 1억원 이하 본부장 전결로 함"
5,0,50003020200,사택,,,,,,,제5장 자산관리 3조 2항 2호,
5,0,50003020201,신규 확보 및 폐지,CEO,,,,,,제5장 자산관리 3조 2항 2호 1목,
5,0,50003020202,재계약,본부장,,,,,,제5장 자산관리 3조 2항 2호 2목,
5,0,50003030000,위탁,CEO,,,,,,제5장 자산관리 3조 3항,
5,0,50004000000,타회사 주식의 매입 또는 매각,CEO,,,,,,제5장 자산관리 4조,
5,0,50005000000,불요자산의 처분(매각/폐기),,,,,,,제5장 자산관리 5조,
5,0,50005010000,불요자산 분류,본부장,,,,,,제5장 자산관리 5조 1항,
5,0,50005020000,매각,,,,,,,제5장 자산관리 5조 2항,"매각 시 3자이상 경쟁입찰을 통한 최고가액으로 결정해야 하고, 그러하지 못할 경우 사유를 명기해야 함
단, 전산기기는 지정된 단일업체로 매각할 수 있음"
5,0,50005020100,장부가액이 있는 자산,,,,,,,제5장 자산관리 5조 2항 1호,
5,0,50005020101,장부가액이 있는 자산 - 1천만원 초과,CEO,,,,,,제5장 자산관리 5조 2항 1호 1목,장부가액 50억원 초과는 이사회 승인 필요
5,0,50005020102,장부가액이 있는 자산 - 1천만원 이하,본부장,,,,,,제5장 자산관리 5조 2항 1호 2목,장부가액 50억원 초과는 이사회 승인 필요
5,0,50005020200,장부가액이 없는 자산,,,,,,,제5장 자산관리 5조 2항 2호,
5,0,50005020201,장부가액이 없는 자산 - 1천만원 초과,CEO,,,,,,제5장 자산관리 5조 2항 2호 1목,매각가액 1백억원 초과는 이사회 승인 필요
5,0,50005020202,장부가액이 없는 자산 - 1천만원 이하,본부장,,,,,,제5장 자산관리 5조 2항 2호 2목,매각가액 1백억원 초과는 이사회 승인 필요
5,0,50005030000,폐기,,,,,,,제5장 자산관리 5조 3항,
5,0,50005030100,장부가액이 있는 자산,,,,,,,제5장 자산관리 5조 3항 1호,
5,0,50005030101,장부가액이 있는 자산 - 1천만원 초과,CEO,,,,,,제5장 자산관리 5조 3항 1호 1목,장부가액 50억원 초과는 이사회 승인 필요
5,0,50005030102,장부가액이 있는 자산 - 1천만원 이하,본부장,,,,,,제5장 자산관리 5조 3항 1호 2목,장부가액 50억원 초과는 이사회 승인 필요
5,0,50005030200,장부가액이 없는 자산,본부장,,,,,,제5장 자산관리 5조 3항 2호,
5,0,50006000000,청구권의 포기 및 결손처리,,,,,,,제5장 자산관리 6조,
5,0,50006010000,청구권의 포기 및 결손처리 - 5백만원 초과,CEO,,,,,,제5장 자산관리 6조 1항,
5,0,50006020000,청구권의 포기 및 결손처리 - 5백만원 이하,본부장,,,,,,제5장 자산관리 6조 2항,
