장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
6,1,60100000000,6장 1절 공통,,,,,,,제6장 인사/총무 1절,"별도 규정이 없는 한 인사관련사항 중 CEO/본부장 승인 사항은 경영기획 본부장 합의, 관련팀장 승인 사항은 경영기획팀장 합의 필요"
6,1,60101000000,인사정책,,,,,,,제6장 인사/총무 1절 1조,인사정책에 관한 주요사안은 인사위원회를 거쳐야 함. 임원에 대한 사안은 집행임원 인사규정을 따름
6,1,60101010000,회사 기구·조직 변경,CEO,,,,,,제6장 인사/총무 1절 1조 1항,
6,1,60101020000,인사규정 제정 및 변경,CEO,,,,,,제6장 인사/총무 1절 1조 2항,
6,1,60101030000,급여항목 및 수준의 변경,CEO,,,,,,제6장 인사/총무 1절 1조 3항,
6,1,60101040000,인력규모 확정 (팀별 인원승인),CEO,,,,,,제6장 인사/총무 1절 1조 4항,
6,1,60102000000,채용/배치/복무/퇴직,,,,,,,제6장 인사/총무 1절 2조,
6,1,60102010000,외부 충원 요청,본부장,,,,,,제6장 인사/총무 1절 2조 1항,
6,1,60102020000,선발,,,,,,,제6장 인사/총무 1절 2조 2항,
6,1,60102020100,정규직,CEO,,,,,,제6장 인사/총무 1절 2조 2항 1호,
6,1,60102020200,계약직,,,,,,,제6장 인사/총무 1절 2조 2항 2호,
6,1,60102020201,계약직 - 신규 계약,CEO,,,,,,제6장 인사/총무 1절 2조 2항 2호 1목,선발 시 현업 조직장 합의필요
6,1,60102020202,계약직 - 기간 연장,본부장,,,,,,제6장 인사/총무 1절 2조 2항 2호 2목,계약직 2년 초과시 CEO 승인 필요
6,1,60102020300,기타 비정규직 신규계약 체결 및 기간연장,본부장,,,,,,제6장 인사/총무 1절 2조 2항 3호,"승인된 인력운용계획 외 일용직 채용은 경영기획팀장 합의 단, 3개월 초과 불가"
6,1,60102020400,자회사/계열회사와 인력 전출/입,,,,,,,제6장 인사/총무 1절 2조 2항 4호,"경영기획본부장 합의
계열회사 및 자/투자사로 회사의 인력을 파견 보내거나 계열회사 및 자/투자사로부터 인력을 파견 받는 경우에 해당하며 전적에 따른 전출/전입은 해당되지 않음"
6,1,60102020401,최초 전출/입,CEO,경영기획본부장,,,,,제6장 인사/총무 1절 2조 2항 4호 1목,
6,1,60102020402,"기간 연장, 동일직책의 인력 교체",CEO,경영기획본부장,,,,,제6장 인사/총무 1절 2조 2항 4호 2목,
6,1,60102030000,부서 이동,CEO,본부장,,,,,제6장 인사/총무 1절 2조 3항,"이동 전/후 본부장 합의
단, 본부 외 팀원 이동의 경우, 이동 전/후 CEO 결재"
6,1,60102040000,직종간 이동,CEO,,,,,,제6장 인사/총무 1절 2조 4항,
6,1,60102050000,명예퇴직,CEO,,,,,,제6장 인사/총무 1절 2조 5항,
6,1,60102060000,휴가 및 휴직,,,,,,,제6장 인사/총무 1절 2조 6항,
6,1,60102060100,휴가 및 미사용 휴가 보상 ,,,,,,,제6장 인사/총무 1절 2조 6항 1호,
6,1,60102060101,휴가 및 미사용 휴가 보상 - 팀장,본부장,,,,,,제6장 인사/총무 1절 2조 6항 1호 1목,
6,1,60102060102,휴가 및 미사용 휴가 보상 - 팀원,팀장,,,,,,제6장 인사/총무 1절 2조 6항 1호 2목,
6,1,60102060200,휴직,CEO,,,,,,제6장 인사/총무 1절 2조 6항 2호,
6,1,60102070000,월 근로시간 초과근무,본부장,,,,,,제6장 인사/총무 1절 2조 7항,
6,1,60102080000,경조금,팀장,,,,,,제6장 인사/총무 1절 2조 8항,
6,1,60102090000,출장,,,,,,,제6장 인사/총무 1절 2조 9항,1개월 이상 장기출장 : 경영기획팀 사전 통보
6,1,60102090100,국내 출장,,,,,,,제6장 인사/총무 1절 2조 9항 1호,
6,1,60102090101,국내 출장 - 본부장,CEO,,,,,,제6장 인사/총무 1절 2조 9항 1호 1목,1개월 이상 장기출장 : 경영기획팀 사전 통보
6,1,60102090102,국내 출장 - 팀장 이하,본부장,,,,,,제6장 인사/총무 1절 2조 9항 1호 2목,1개월 이상 장기출장 : 경영기획팀 사전 통보
6,1,60102090200,해외 출장,,,,,,,제6장 인사/총무 1절 2조 9항 2호,
6,1,60102090201,해외 출장 - 본부장,CEO,,,,,,제6장 인사/총무 1절 2조 9항 2호 1목,1개월 이상 장기출장 : 경영기획팀 사전 통보
6,1,60102090202,해외 출장 - 팀장 이하,본부장,,,,,,제6장 인사/총무 1절 2조 9항 2호 2목,1개월 이상 장기출장 : 경영기획팀 사전 통보
6,1,60102100000,사원 후생복지,,,,,,,제6장 인사/총무 1절 2조 10항,
6,1,60102100100,휴양소 설치/운영,CEO,,,,,,제6장 인사/총무 1절 2조 10항 1호,
6,1,60102100200,동호회 지원,팀장,,,,,,제6장 인사/총무 1절 2조 10항 2호,
6,1,60102100300,사원식당 운영,팀장,,,,,,제6장 인사/총무 1절 2조 10항 3호,
6,1,60103000000,승진급/상벌,,,,,,,제6장 인사/총무 1절 3조,
6,1,60103010000,승진,,,,,,,제6장 인사/총무 1절 3조 1항,
6,1,60103010100,Guideline 결정,CEO,,,,,,제6장 인사/총무 1절 3조 1항 1호,
6,1,60103010200,승진 확정,CEO,,,,,,제6장 인사/총무 1절 3조 1항 2호,
6,1,60103020000,직책 선임,CEO,,,,,,제6장 인사/총무 1절 3조 2항,
6,1,60103030000,승급,,,,,,,제6장 인사/총무 1절 3조 3항,
