장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
7,1,70101000000,이사회 및 주주총회,,,,,,,제7장 법제/법무 1절 1조,
7,1,70101010000,소집통지서 발송,CEO,,,,,,제7장 법제/법무 1절 1조 1항,이사회 의장 명의로 발송
7,1,70101020000,주주총회/이사회 안건 부의,CEO,,,,,,제7장 법제/법무 1절 1조 2항,
7,1,70101030000,의사록 승인,,,,,,,제7장 법제/법무 1절 1조 3항,
7,1,70101030100,이사회,CEO,,,,,,제7장 법제/법무 1절 1조 3항 1호,
7,1,70101030200,주주총회,CEO,,,,,,제7장 법제/법무 1절 1조 3항 2호,
7,1,70101040000,결의에 따른 기타 조치,본부장,유관 본부장,,,,,제7장 법제/법무 1절 1조 4항,유관 본부장 합의
7,1,70101050000,이사회/주주총회 결의에 따른 법원 등기,본부장,,,,,,제7장 법제/법무 1절 1조 5항,
7,1,70102000000,자/투자회사 주주총회 소집절차 생략에 관한 동의,본부장,,,,,,제7장 법제/법무 1절 2조,
7,1,70103000000,"주식: 제공고/신주권 발행/주권재발행/명의개서/ 질권 설정, 말소 등",CEO,,,,,,제7장 법제/법무 1절 3조,
7,1,70104000000,회사 인장 관리,,,,,,,제7장 법제/법무 1절 4조,"경영기획팀 제작신청/일괄 제작 관리
인장 분실 시, 즉시 경영기획팀에 통보 후 제반 대응조치를 취해야 하며, 10일 이내에 CEO의 확인을 거친 분실사유서를 경영기획팀으로 송부해야 함"
7,1,70104010000,신규조각,,,,,,,제7장 법제/법무 1절 4조 1항,
7,1,70104010100,이사 및 감사 인장,팀장,,,,,,제7장 법제/법무 1절 4조 1항 1호,
7,1,70104010200,"대표이사인, 사용인, 회사인, 계인",CEO,,,,,,제7장 법제/법무 1절 4조 1항 2호,"중요인장은 인장등록부에 사용등록 후 사용하여야 하며, 이 대장은 경영기획팀에서 보관함"
7,1,70104020000,반납/폐기,,,,,,,제7장 법제/법무 1절 4조 2항,
7,1,70104020100,반납,팀장,,,,,,제7장 법제/법무 1절 4조 2항 1호,유관 팀장 승인
7,1,70104020200,폐기,경영기획팀장,,,,,,제7장 법제/법무 1절 4조 2항 2호,경영기획팀장 승인
7,1,70104030000,날인,,,,,,,제7장 법제/법무 1절 4조 3항,
7,1,70104030100,법인 인감 승인,본부장,,,,,,제7장 법제/법무 1절 4조 3항 1호,대표이사인은 결재권자의 결재를 얻은 후 인장사용부에 기록 후 날인함
7,1,70104030200,"사용인, 회사인, 계인 승인",팀장,,,,,,제7장 법제/법무 1절 4조 3항 2호,"사용인, 회사인, 계인은 결재권자의 결재를 얻은 후 인장사용부에 기록 후 날인함 경영기획팀장 승인"
7,1,70105000000,회사 법인인증서 관리,,,,,,,제7장 법제/법무 1절 5조,공인인증서(범용/용도제한용)의 모든 통제 및 관리는 경영기획팀에서 수행
7,1,70105010000,범용/용도제한용 인증서 관리,,,,,,,제7장 법제/법무 1절 5조 1항,공인인증서(범용/용도제한용)의 모든 통제 및 관리는 경영기획팀에서 수행
7,1,70105010100,발급,본부장,,,,,,제7장 법제/법무 1절 5조 1항 1호,공인인증서(범용/용도제한용)의 모든 통제 및 관리는 경영기획팀에서 수행
7,1,70105010200,갱신/재발급,팀장,,,,,,제7장 법제/법무 1절 5조 1항 2호,공인인증서(범용/용도제한용)의 모든 통제 및 관리는 경영기획팀에서 수행
7,1,70105010300,사용/폐기 신청 및 승인,팀장,,,,,,제7장 법제/법무 1절 5조 1항 3호,"신청: 요청팀장 승인
승인: 경영기획팀장 승인
구체적인 사용 방법은 경영기획팀장이 지정함"
7,1,70106000000,법령 관련업무,,,,,,,제7장 법제/법무 1절 6조,
7,1,70106010000,회사관련 법령/조례 제·개정(안)제출,CEO,,,,,,제7장 법제/법무 1절 6조 1항,
