장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
8,0,80001000000,수요개발,,,,,,,제8장 사업개발/생산/홍보 1조,
8,0,80001010000,수요개발 계획 수립,CEO,,,,,,제8장 사업개발/생산/홍보 1조 1항,
8,0,80001020000,영업 및 열수급계약,본부장,,,,,,제8장 사업개발/생산/홍보 1조 2항,
8,0,80001030000,영업방침 결정,CEO,,,,,,제8장 사업개발/생산/홍보 1조 3항,
8,0,80001040000,사업허가,,,,,,,제8장 사업개발/생산/홍보 1조 4항,
8,0,80001040100,사업변경허가,CEO,,,,,,제8장 사업개발/생산/홍보 1조 4항 1호,
8,0,80001040200,사업변경신고,본부장,,,,,,제8장 사업개발/생산/홍보 1조 4항 2호,
8,0,80001040300,사업타당성 검토,본부장,,,CEO,,,제8장 사업개발/생산/홍보 1조 4항 3호,
8,0,80001050000,공사비부담금,본부장,,,,,,제8장 사업개발/생산/홍보 1조 5항,
8,0,80001060000,열요금,,,,,,,제8장 사업개발/생산/홍보 1조 6항,
8,0,80001060100,요금부과 및 수금관리,본부장,,,,,,제8장 사업개발/생산/홍보 1조 6항 1호,
8,0,80001060200,연체관리,,,,,,,제8장 사업개발/생산/홍보 1조 6항 2호,
8,0,80001060201,연체관리 - 6개월 초과,CEO,,,,,,제8장 사업개발/생산/홍보 1조 6항 2호 1목,
8,0,80001060202,연체관리 - 6개월 미만,본부장,,,,,,제8장 사업개발/생산/홍보 1조 6항 2호 2목,
8,0,80001070000,고객관리,,,,,,,제8장 사업개발/생산/홍보 1조 7항,
8,0,80001070100,사용자 홍보,본부장,,,,,,제8장 사업개발/생산/홍보 1조 7항 1호,
8,0,80001070200,열요금 민원,본부장,,,CEO,,,제8장 사업개발/생산/홍보 1조 7항 2호,"□ 진정, 이의신청시"
8,0,80001070300,일반 민원,본부장,,,CEO,,,제8장 사업개발/생산/홍보 1조 7항 3호,"□ 진정, 이의신청시"
8,0,80001070400,다수인관련 민원 및 청원,CEO,,,,,,제8장 사업개발/생산/홍보 1조 7항 4호,
8,0,80001080000,전기차 충전사업,,,,,,,제8장 사업개발/생산/홍보 1조 8항,
8,0,80001080100,계획수립 및 실적보고,CEO,,,,,,제8장 사업개발/생산/홍보 1조 8항 1호,
8,0,80001080200,수요개발 및 계약,본부장,,,,,,제8장 사업개발/생산/홍보 1조 8항 2호,
8,0,80002000000,열원개발,,,,,,,제8장 사업개발/생산/홍보 2조,
8,0,80002010000,추진전략 및 계획 수립,CEO,,,,,,제8장 사업개발/생산/홍보 2조 1항,
8,0,80002020000,세부계획 수립 및 시행,본부장,,,,,,제8장 사업개발/생산/홍보 2조 2항,
8,0,80002030000,열거래사업 계약 및 변경,,,,,,,제8장 사업개발/생산/홍보 2조 3항,
8,0,80002030100,열거래 계약(변경),CEO,,,,,,제8장 사업개발/생산/홍보 2조 3항 1호,
8,0,80002030200,"중대한 조건 변경 합의(거래량, 단가 등)",CEO,,,,,,제8장 사업개발/생산/홍보 2조 3항 2호,
8,0,80002030300,경미한 조건 변경 합의,본부장,,,,,,제8장 사업개발/생산/홍보 2조 3항 3호,
8,0,80002040000,열원용지 확보,CEO,,,,,,제8장 사업개발/생산/홍보 2조 4항,
8,0,80003000000,열사용 시설,,,,,,,제8장 사업개발/생산/홍보 3조,
8,0,80003010000,관리기준 수립,,,,,,,제8장 사업개발/생산/홍보 3조 1항,
8,0,80003010100,열사용신청 설계도서 검토 및 점검기준,CEO,,,,,,제8장 사업개발/생산/홍보 3조 1항 1호,
8,0,80003010200,설계도서 검토 및 승인/변경,본부장,,,,,,제8장 사업개발/생산/홍보 3조 1항 2호,
8,0,80003020000,열사용시설 점검,,,,,,,제8장 사업개발/생산/홍보 3조 2항,
8,0,80003010100,안전점검계획 수립 및 준공/필증 교부,본부장,,,,,,제8장 사업개발/생산/홍보 3조 1항 1호,
8,0,80003010200,중간점검,팀장,,,,,,제8장 사업개발/생산/홍보 3조 1항 2호,
8,0,80003030000,사용자 기술교육,본부장,,,,,,제8장 사업개발/생산/홍보 3조 3항,
8,0,80003040000,열사용시설 안전점검 및 교육 시행,본부장,,,,,,제8장 사업개발/생산/홍보 3조 4항,
8,0,80003050000,열계량장치,,,,,,,제8장 사업개발/생산/홍보 3조 5항,
8,0,80003050100,연간구매(설치)계획 수립,CEO,,,,,,제8장 사업개발/생산/홍보 3조 5항 1호,
8,0,80003050200,유지보수 및 검정관리,본부장,,,,,,제8장 사업개발/생산/홍보 3조 5항 2호,
8,0,80003060000,"열사용시설 기술지도, 변경설치, 안전점검",본부장,,,,,,제8장 사업개발/생산/홍보 3조 6항,
8,0,80004000000,생산,,,,,,,제8장 사업개발/생산/홍보 4조,
