장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
9,0,90001000000,공통,,,,,,,제9장 환경/보전/안전/보안 1조,
9,0,90001010000,주요 환경/보건/안전/보안 제도의 도입,CSO,,,CEO,,,제9장 환경/보전/안전/보안 1조 1항,
9,0,90001020000,환경/보건/안전/보안 감사,,,,,,,제9장 환경/보전/안전/보안 1조 2항,
9,0,90001020100,환경/보건 감사,CSO,,,CEO,,,제9장 환경/보전/안전/보안 1조 2항 1호,
9,0,90001020200,안전/보안 감사,본부장,,,CEO,,,제9장 환경/보전/안전/보안 1조 2항 2호,
9,0,90001030000,환경/보건/안전/보안 교육/훈련,CSO,,,,,,제9장 환경/보전/안전/보안 1조 3항,
9,0,90001040000,환경/보건/안전/보안 관련 외부기관 보고,,,,,,,제9장 환경/보전/안전/보안 1조 4항,
9,0,90001040100,일상적인 보고,팀장,,,,,,제9장 환경/보전/안전/보안 1조 4항 1호,
9,0,90001040200,법규 위반 등 특이사항,CSO,,,CEO,,,제9장 환경/보전/안전/보안 1조 4항 2호,
9,0,90001050000,사고 보고,,,,,,,제9장 환경/보전/안전/보안 1조 5항,
9,0,90001050100,환경/안전/보건,CSO,,,,,,제9장 환경/보전/안전/보안 1조 5항 1호,
9,0,90001050200,보안,CEO,,,,,,제9장 환경/보전/안전/보안 1조 5항 2호,
9,0,90001060000,사업장 무재해기록 무산,CSO,,,CEO,,,제9장 환경/보전/안전/보안 1조 6항,
9,0,90002000000,보건,,,,,,,제9장 환경/보전/안전/보안 2조,
9,0,90002010000,임직원 건강검진 계획 수립,본부장,,,,,,제9장 환경/보전/안전/보안 2조 1항,
9,0,90002020000,의료비 지원,,,,,,,제9장 환경/보전/안전/보안 2조 2항,
9,0,90002020100,지침 제/개정,본부장,,,,,,제9장 환경/보전/안전/보안 2조 2항 1호,
9,0,90002020200,지침에 따른 지원,팀장,,,,,,제9장 환경/보전/안전/보안 2조 2항 2호,
9,0,90002030000,병가,,,,,,,제9장 환경/보전/안전/보안 2조 3항,
9,0,90002030100,팀장,본부장,경영기획팀장,,,,,제9장 환경/보전/안전/보안 2조 3항 1호,경영기획팀장 합의
9,0,90002030200,팀원,팀장,경영기획팀장,,,,,제9장 환경/보전/안전/보안 2조 3항 2호,경영기획팀장 합의
9,0,90002040000,산재요양 신청,,,,,,,제9장 환경/보전/안전/보안 2조 4항,
9,0,90002040100,발생 1개월 이내 신청,본부장,경영기획팀장,,,,,제9장 환경/보전/안전/보안 2조 4항 1호,경영기획팀장 합의
9,0,90002040200,발생 1개월 초과 신청,CEO,경영기획팀장,,,,,제9장 환경/보전/안전/보안 2조 4항 2호,경영기획팀장 합의
9,0,90003000000,보안,,,,,,,제9장 환경/보전/안전/보안 3조,
9,0,90003010000,보안지침/실행계획,본부장,,,,,,제9장 환경/보전/안전/보안 3조 1항,
9,0,90003020000,보안교육 및 활동,팀장,,,,,,제9장 환경/보전/안전/보안 3조 2항,
9,0,90003030000,신원조회,팀장,,,,,,제9장 환경/보전/안전/보안 3조 3항,
9,0,90003040000,출입관리,팀장,,,,,,제9장 환경/보전/안전/보안 3조 4항,
9,0,90003050000,문서보안(문서반출 등),본부장,,,,,,제9장 환경/보전/안전/보안 3조 5항,
9,0,90003060000,"정보보안 예외 (사이트 해제, 외부시스템 사용 등)",본부장,,,,,,제9장 환경/보전/안전/보안 3조 6항,
9,0,90004000000,건설,CEO,,,,,,제9장 환경/보전/안전/보안 4조,
9,0,90004010000,건설 기본계획 수립 및 변경,본부장,,,,,,제9장 환경/보전/안전/보안 4조 1항,
9,0,90004020000,건설관리,본부장,,,,,,제9장 환경/보전/안전/보안 4조 2항,
9,0,90004030000,품질관리,본부장,,,,,,제9장 환경/보전/안전/보안 4조 3항,
9,0,90004040000,품질검사,본부장,,,,,,제9장 환경/보전/안전/보안 4조 4항,
9,0,90004050000,공사계획 및 설계,본부장,,,,,,제9장 환경/보전/안전/보안 4조 5항,
9,0,90005000000,비상계획 수립 및 시행,CSO,,,,,,제9장 환경/보전/안전/보안 5조,
9,0,90006000000,대기오염물질 총량관리,본부장,,,,,,제9장 환경/보전/안전/보안 6조,
9,0,90007000000,화공약품 관리,본부장,,,,,,제9장 환경/보전/안전/보안 7조,
9,0,90008000000,통합환경관리,본부장,,,,,,제9장 환경/보전/안전/보안 8조,
9,0,90009000000,기타환경관리,본부장,,,,,,제9장 환경/보전/안전/보안 9조,"환경책임보험, 하수도,폐기물"
